State,2010,2011,2012,2013,2014
Arizona,2305413,2416553,2476208,2432305,2569082
Florida,8173500,8507584,9041333,9194744,9764626
Illinois,4955198,5140486,5305026,5092925,5245177
Iowa,1140898,1171011,1188770,1159998,1194712
Kentucky,2404944,2433143,2430001,2321513,2436880
Maryland,2408759,2498178,2619227,2530131,2527936
Minnesota,1801852,1876179,1789410,1749949,1865994
Nebraska,536858,538245,546455,551549,563255
North Carolina,4125701,5633259,4499568,4585990,4672977
South Carolina,2169044,2231509,2283494,2322938,2391435
Tennessee,3049512,3125889,2981011,2921177,2755526
Vermont,263222,266996,272781,267490,262080